,0
1302,Approach to Support Single Unwed Parents in their Caregiving Responsibilities
1303,Talking to Your Baby
1304,Additional Precautions for Preschool Students taking part in Indoor Activities during Phase Heightened Aler
1305,Measures taken by Social Service Officers to Monitor Clients who are at Risk of Recurring Violence
1306,Assistance from the Public to Meet the Needs for Children and Young Persons Homes
1307,Duration required for Family Service Centres to Work on Cases to Address Clients Needs
1308,Proposed Amendments to Child Development CoSavings Act to Provide More Support for Parents and Employers
1309,Average Number of Cases Per Social Worker in the Past Five Years
1310,Measures to Prevent Clusters of COVID Infection of Preschoolers from Households Served with Leave of Absence
1311,Preschool Fee Rebates for Children at Home during the Phase Heightened Aler
1312,Language Development An Amazing Journey
1313,Shelter for Teens Kicked Out of Homes Due to Sexual Orientation or Gender Identity
1314,Pregnancy Week
1315,Thinking and Imagining Newborns
1316,Pregnancy Week
1317,Pregnancy Week
1318,Pregnancy Week
1319,Plagiocephaly
1320,Parenting Moments Birth to Years
1321,New Initiatives to Improve Disability Care Services and Case Management Support for Persons with Disabilities with High Support Needs
1322,New Initatives to Enhance Inclusion and Support for Children with Developmental Needs
1323,Proposed Amendments to Mental Capacity Act to Enable Lasting Power of Attorney to be Made Electronically
1324,Further Tightening of Safe Management Measures in Preschools and Early Intervention Centres to Minimise Transmission
1325,Updated Safe Management Measures in Preschools and Early Intervention Centres to Minimise Transmission
1326,Learning in the Baby to Preschool Years
1327,COVID Recovery Grant Temporary CRGFor Workers Affected By Heightened Alert Measures
1328,Introduction to Parenting Moments
1329,COVID Positive Cases at MINDSville Napiri
1330,Brain Development and Developmental Domains of Children at Different Life Stages
1331,Tips Year
1332,Positive Attention and Your Child
1333,Completion Rate Of Probation Orders Remained High In With Strong Collaboration With Community Parners And Support Of Technology
1334,Next Enabling Masterplan Steering Committee to Chart Roadmap till to Support Persons with Disabilities to Build a More Caring and Inclusive Society
1335,Plans to Study the Turnover Rate of Social Workers
1336,Daddy You are Important
1337,Bonding with Your Newborn
1338,Attachment
1339,Reading Baby Body Language
1340,Availability of Emergency Interim Public Housing
1341,New Initiatives to Enhance Support for Persons with Disabilities Throughout Their Lives
1342,Employment and Job Placement Assistance for Persons with Disabilities
1343,Newborn Behaviour An Overview
1344,Distraction Behaviour Management Tool
1345,Details on Mother Tongue Language Preschool Educators and Certificate in Preschool Mother Tongue Language Teaching Courses
1346,Applictions and Appeals for the COVID Recovery Grant
1347,Breakdown of Divorce Cases where Shared Care and Control of the Children was Awarded
1348,Measures to Improve the Matching of Volunteers and Donors for Community Needs
1349,Provision of Onsite Counselling Support During Afteroffice Hours to Residents who are Emotionally Unstable
1350,Early Childhood Leaders Appointed ECDA Fellows
1351,Opening Remarks by Minister of State for Social and Family Development Ms Sun Xueling at ECDA Fellows Appointment Ceremony
1352,COVID Recovery Grant to Provide Further Support
1353,Promoting Singapore Womens Development for a More Equitable and Inclusive Society
1354,New Mentoring Programme To Better Support AtRisk Youths Over Two Years
1355,Advancing Support For Children In Preschools Greater Accessibility Affordability Quality And Inclusion
1356,Building Capabilities Deepening Partnerships and Leveraging Technology to Strengthen Social Service Delivery
1357,Around Jobs And Skills Opportunities In The Social Service And Early Childhood Sectors And For Persons With Disabilities
1358,Community Link Expanded To Reach Towns And Families Over Next Two Years
1359,Speech by Mr Masagos Zulkifli at Social Work Day
1360,Enhancement of Services to Strengthen Families
1361,Council For Board Diversity Welcomes Seven New Council Members
1362,Better Support For Caregivers Of Persons With Disabilities Through New Singapore Together Alliance For Action
1363,Speech by Ms Sun Xueling Minister of State for MSF and MOE at Budget Debates February
1364,Enlarging enrolment for Day Activity Centres to increase placements for adults with autism
1365,Speech by Mr Masagos Zulkifli at MSF Commitee of Supply
1366,Speech by Mr Desmond Lee at MSF Commitee of Supply
1367,Lowering enrolment cost for Day Activity Centres providing care and skills training to adults with disabilities
1368,Speech by Mr Eric Chua at MSF Commitee of Supply
1369,New Initiatives to Encourage Charitable Giving
1370,Speech by Ms Sun Xueling at MSF Committee of Supply
1371,Industry Digital Plan by MSF and NCSS to Support Social Service Agencies in Improving Service Delivery and Outcomes
1372,Job and Training Opportunities for Persons with Disabilities in
1373,Plans to extend Lasting Power of Attorney Form application fee waiver for Singapore citizens beyond March
1374,Tackling family violence
1375,Incidence of domestic violence against children aged and under in blended families
1376,Duration for deputyship application process without a Lasting Power of Attorney
1377,Breakdown of amount for successful payouts under COVID Support Grant
1378,Children without Child Development Accounts
1379,Reason for difference in amounts disbursed in ComCare Fund Annual Report FY and Financial Statement in Annual Report
1380,Database of adult persons with intellectual disabilities and special needs
1381,National study on root causes extent of sexual exploitation abuse of children for design of policies programmes
1382,Speech by Mr Masagos Zulkifli Minister for Social and Family Development and Second Minister for Health at the MSF Volunteer and Partner Awards on January pm
1383,Adult Protective Services Scheme
1384,Average waiting time for children who are differently abled to be enrolled in the Early Intervention Programme
1385,Online applications for the COVID Support Grant
1386,Free parking for persons with disabilities
1387,Distribution of support grants
1388,First Local Study On The Intergenerational Effects Of Divorce On Children
1389,COVID Recovery Grant for Lower to MiddleIncome Workers
1390,MSF Honours Volunteers Partners for Their Service Toward Fellow Singaporeans Amid COVID
1391,Welcome remarks by Minister of State for Social and Family Development Ms Sun Xueling at the appreciation session for participants of predivorce support portal citizen engagement on January pm
1392,Percentage of children who have not had access to the Development Support and Learning Support programme
1393,Unsuccessful Applications for COVID Support Grant
1394,Development Support and Learning Support Programmes for Anchor Operator Preschools
1395,Number of Singaporeans Who Have Been Provided Childcare Preschool and Afterschool Care Subsidies
1396,Steps Taken to Ensure Continual Access of Childrenincare in View of Social Distancing Rules
1397,MSF Proposes Amendments To Mental Capacity Act
1398,Singaporean children born to Long Term Visit Pass holders
1399,Respite care options for caregivers with special needs children
1400,Number of persons with disabilities PWDwho are currently employed
1401,Regulatory requirements to be a homebased babysitter in Singapore
1402,Impact of COVID on Employment Prospects of Persons with Disabilities and Measures to Raise Inclusivity
1403,Extending Development Support and Learning Support Programme to children who are differently abled at the nursery level
1404,Number of Protection Orders and Domestic Exclusion Orders Granted Each Month under the Womens Charter
1405,Review of Distribution of Support Grants Based on Per Capita Income
1406,Education and Housing Support for Young Men and Women who Grow out of Residential Boys or Girls Homes
1407,Start Small Dream Big
1408,Early Childhood Conference
1409,ComCare Spending Increased percent in to Million
1410,Social egg freezing
1411,Development Support and Learning Support Programmes for NonAnchor Preschools
1412,Brunei and Singapore Sign MoU to Enhance Cooperation on Social Development
1413,Engaging Citizens On New Portal Providing Early Support To Couples Considering Divorce
1414,Measures to keep families intact and maintain mental wellbeing of individuals
1415,Takeup rate of registering Lasting Powers of Attorney Age of Applicants and Mode
1416,Enrolment for Enhanced Pilot for Private Intervention Providers
1417,COVID Support Grant Extended until December to Continue Supporting Lower to MiddleIncome Employees
1418,Manpower resourcing plan for the Home Visitation Programme under KidSTART
1419,Number of Applications and Income Criteria for ComCare Assistance
1420,Kindergarten Fee Assistance Scheme KiFA
1421,COVID Support Grant and Comcare Scheme
1422,Opening Remarks by Mr Masagos Zulkifli at National Day Ceremony For Social Service Sector at Enabling Village
1423,Ministry of Social and Family Developments Addendum To The Presidents Address
1424,More than preschoolers to give back to the community through Start Small Dream Big movement
1425,Conversations on Women Development
1426,Balancing Guidance with Enforcement Key to Continued Success of Probation Orders
1427,About preschool staff tested negative so far from proactive testing
1428,Three confirmed COVID cases detected from proactive testing
1429,Cut Reply Speech by Assoc Prof Dr Muhammad Faishal Ibrahim at the Second Supplementary Estimates Committee Of Supply
1430,Vast Majority Of Preschool Staff Tested Negative In Proactive Swabs Positive Cases Mostly From Past Infections
1431,Eligibility Criteria for the COVID Support Grant
1432,Financial support available during COVID
1433,Civil and Muslim Marriage Solemnizations and Registrations can be Conducted via Video Link During the COVID Period
1434,Closing Speech by Mr Desmond Lee on the COVID Temporary Measures For Solemnization and Registration of MarriageBill
1435,Phased Reopening of Preschools and Early Intervention Centres from June
1436,Opening Speech by Mr Desmond Lee on the COVID Temporary Measures For Solemnization and Registration of MarriageBill
1437,Support for homeless and rough sleepers during COVID
1438,Caseloads at Family Service Centres
1439,Temporary Relief Fund
1440,Eligibility for COVID Support Grant
1441,Temporary Relief Fund applications
1442,Additional COVID support measures for all homes serving the elderly
1443,Temporary closure of Ebridge Preschool at Corporation Drive
1444,Temporary Closure of My First Skool at A Compassvale Crescent
1445,Temporary Closure of My First Skool at Blk AMK Ave
1446,Temporary Closure of Learning Vision at Work Located at Lower Kent Ridge Road
1447,Confirmed COVID case at Learning Vision Work
1448,Temporary Closure of Little Treasures Childcare at Woodlands Street
1449,Childcare and Student Care Centres to Suspend General Services Until June Kindergarten School Holidays to Begin May
1450,Confirmed COVID case at Acacia Home
1451,COVID Support Grant Expanded to Support More Lower to MiddleIncome Singaporeans
1452,Confirmed COVID cases at Little Gems Preschool
1453,Ensuring continued social assistance and essential services for vulnerable groups
1454,Temporary Closure of Little Gems Preschool
1455,Preschools and Student care centres to suspend general services
1456,Temporary Closure of MY World Preschool Pte Ltd at Bukit Batok West Ave
1457,Temporary Closure of PCF Sparkletots Preschool Bedok ReservoirPunggol Blk
1458,Impact of COVID on Singaporeans and Supporting Measures
1459,Preschool operators to provide fee offsets during circuit breaker period
1460,Speech by Mr Desmond Lee at the Supplementary Budget Debate
1461,Speech by Assoc Prof Dr Muhammad Faishal Ibrahim at the Supplementary Budget Debate
1462,Temporary Closure of The Orange Tree CCPte Ltd
1463,Closure of temporary relief centre at Jurong East Sport Hall
1464,Temporary Closure of MY World Preschool Ltd Lengkok Bahr
1465,Schools And Kindergartens To ReOpen With Enhanced Precautionary Measures
1466,Up to million fund to strengthen the social service sector
1467,Statement on confirmed COVID cases at PCF Sparkletots Preschool Fengshan Blk
1468,Joint MOEMSF statement on LOA for preschool and primary school children
1469,Temporary Closure of PCF Sparkletots Preschool Fengshan Blk
1470,More Support for Lower to MiddleIncome Singaporeans Affected by COVID Situation
1471,Temporary Closure of My First Skool located at Rivervale Crescent
1472,Enhanced Support for Preschool Operators and Families
1473,New online portal to provide early support to couples considering divorce
1474,Speech by Mr Sam Tan Chin Siong at the Committee of Supply
1475,More affordable afterschool care services and a single point of contact for persons with disabilities and caregivers
1476,Forging closer partnerships and enhancing coordination to strengthen social service delivery
1477,Stronger protection for children from Q under the Children and Young Persons Act
1478,More affordable student care services for lowerincome families
1479,Shift of early intervention services from MSF Disability Office to Early Childhood Development Agency
1480,Speech by Assoc Prof Dr Muhammad Faishal Ibrahim at the Committee of Supply
1481,ADDITIONAL PRECAUTIONARY MEASURES AGAINST COVID
1482,Precautionary Measures for COVID
1483,Speech by Mr Desmond Lee at the Committee of Supply
1484,Enhancing Support for Disadvantaged Families by Strengthening Community Partnerships
1485,Taking GovernmentPaid Paternity Leave in shorter durations
1486,POSITIVE RESPONSE FROM OVER CHILDCARE OPERATORS FOR NEW TERM OF PARTNER OPERATOR SCHEME
1487,MSF Appoints New Chairman and Welcomes Six New Members to Families for Life Council
1488,minimum stafftochild ratio at places of safety
1489,Government Accepts All Recommendations by Committee to Review and Enhance Reforms in the Family Justice System
1490,Llinking the eligibility criteria of childcare subsidies with the mothers employment status
1491,Temporary Closure of Creative O Preschoolers Bay
1492,Speech by Mr Desmond Lee at Public Sector Transformation Awards
1493,Updates on Measures Taken to Rehabilitate and Protect AtRisk Individuals and Offenders to Transform their Lives
1494,Beneficiaries of LongTerm Care Schemes May Jeopardise their Eligibility for Other Social and Healthcare Assistance Schemes
1495,Proportion of Kindergartens Operated by Private Providers and Autonomous Operators Offering Before and After School Care
1496,Available Support for Young Persons with Acute Mental Health Episode in a Residential Home
1497,Plans to Provide Student Care Centres SCin Yishun South including Preschool Centres
1498,Financial Assistance for Families with Special Needs Adult Members
1499,OPENING ADDRESS BY MR DESMOND LEE MINISTER FOR SOCIAL AND FAMILY DEVELOPMENT AT ASIAN FAMILY CONFERENCE ON NOVEMBER MANDARIN ORCHARD HOTEL SINGAPORE
1500,POSITIVE CHILD OUTCOMES FROM PARENT EDUCATION MSF ROLLS OUT REGIONAL PARENTING SUPPORT PROVIDERS
1501,Call for applications for new term of childcare Partner Operator scheme
1502,Update on the Ministrys position on commercial forprofit surrogacy
1503,Amount of Subsidies Given to Anchor Operators of Childcare Centres and Kindergartens in Past Five Years
1504,Number of Singaporeans and PRs who are suffering from food insecurity
1505,million in ComCare Assistance Benefitted Households in FY
1506,Celebrating the Work of Licensed Solemnisers in Nurturing Strong Marriages
1507,Speech by AP Muhammad Faishal Ibrahim at Muslim Family Law Symposium
1508,Unauthorised use of NCSS logo to solicit funds in India
1509,Income Per Capita Criterion for Preschool Subsidies for All Families
1510,Uptake of GovernmentPaid Child Care Leave Scheme By Working Parents in Past Five Years
1511,Foreign Domestic Worker Levy Concession for Families Caring for Persons with Cognitive Disabilities
1512,Number of youth suicides broken down into male and female youths for the past two years
1513,Number of children and young persons who enter a place of safety
1514,Average amount of cash savings per household member for households who receive ComCare Assistance
1515,To specify the highest lowest mean and median numbers of children per social worker at places of safety from to
1516,Number of needy families currently paying less than and per child respectively for their fullday childcare services
1517,Caregivers given Special Approval for higher subsidy support for infant care and childcare
1518,Opening Address by AP Muhammad Faishal Ibrahim at High Level Policy Dialogue on Women and the Economy
1519,Divorce ruling to state which party is allowed to list child as occupier
1520,Details on the dead toddler recently found in Chin Swee Road
1521,Preschool fee hikes and affordability
1522,Opening Address by Mr Desmond Lee at the PublicPrivatePeople Conference on the ASEAN Enabling Masterplan
1523,EDUCATORS AND CENTRES TO RECEIVE ECDA AWARDS FOR EXCELLENCE IN EARLY CHILDHOOD DEVELOPMENT
1524,Fifth Fostering Agency Appointed To Grow Foster Care
1525,Closing Speech at Second Reading of Children and Young Persons AmendmenBill
1526,Senior Parliamentary Secretary Muhammad Faishal Ibrahim Reiterates Singapores Commitment to Enhance Womens Economic Participation
1527,Working Together on a Good Start for Every Child
1528,SPEECH BY MR DESMOND LEE MINISTER FOR SOCIAL AND FAMILY DEVELOPMENT EARLY CHILDHOOD CONFERENCE SEPTEMBER AM SUNTEC CONVENTION AND EXHIBITION CENTRE
1529,Launch of Singapore Preschool Accreditation Framework SPARQuality Rating Scale for Years
1530,Public Consultation on RERF Report
1531,Appointment of Two New Divorce Support Specialists Agencies Expands The Support Available to Families Undergoing Divorce
1532,Number of Persons with Disabilities Benefiting from Assistive Technology Fund in Past Three Years
1533,Takeup Rate of ParentCare Leave by Public Servants
1534,Strategic Plan to Develop Social Entrepreneurship and Social Enterprises in Singapore and Overseas
1535,Additional Measures to Address Rise in Youth Suicides
1536,Utilisation of GovernmentPaid Child Care Leave Scheme and Extended Child Care Leave Scheme in Past Five Years
1537,Options for Residential Home Residents Needing Additional Acute Help
1538,Number of Persons with Disabilities in Institutional Care in Last Years
1539,Transnational Families Living Under Public Rental Scheme
1540,Utilisation Rate of GovernmentPaid Childcare Leave By Eligible Employees
1541,Opening Speech at Second Reading of Children and Young Persons AmendmenBill
1542,Number of children in foster care and number of registered foster parents in the last three years
1543,Plans to improve and enhance jobreadiness in Day Activity Centres for young adults with special needs
1544,Number of Households with Persons with Disabilities and Help Measures Available
1545,Number of qualified therapists in Singapore for special needs children
1546,Outreach out to persons of minority sexual orientations or gender identities who are facing violence from family members
1547,Grants for fees for faithbased preschools run by nonprofit organisations such as those by churches mosques and voluntary welfare organisations
1548,Remarks by Minister at the Joint Ministerial Media Conference on Marriage and Parenthood
1549,A Good Start For Every Child
1550,Update on suggestion made regarding President of Singapore issuing congratulatory notes to Singaporean centenarians
1551,Opening Address by Minister Desmond Lee at the CBD Accessibility Public Mapping Day
1552,Trend of new ComCare recipients
1553,Upcoming Increase in Subsidies for Preschool Education
1554,Speech by Minister at the Middle East Institute and the Asia Society Policy Institute Conference
1555,Address by Minister at NCSS Social Service Summit
1556,Joint MOHMSF statement in response to AGO Audit Observations on Thematic Audit
1557,Safeguarding persons without mental capacity and providing more support for their caregivers
1558,Speech by Minister at Alzheimers Disease Associations Star Charity Luncheon
1559,Speech by Minister at the th Enabling Employers Awards
1560,Changes to the Registration Process for a Lasting Power of Attorney
1561,Stronger Support for Children in Need of Protection and Rehabilitation
1562,Opening Statement at the Oral Presentation to the st Session of the Committee On The Rights Of The Child
1563,Programmes to Help atrisk Youths
1564,Closing Remarks At The Oral Presentation To The st Session Of The Committee On The Rights Of The Child
1565,Senior Parliamentary Secretary Associate Professor Muhammad Faishal Ibrahim Shares Singapores Vision Of Being A Nurturing And Endearing Home For Our Children
1566,Opening Address by AP Muhammad Faishal Ibrahim at the Families for Life Raising Resilient Children Seminar
1567,Definition of Disability for Social Policies
1568,Opening Address by Minister Desmond Lee at the SG Cares Community Network Session at Pasir Ris and Punggol
1569,Raising Awareness About Children and Young Adult with Autism
1570,Statistics supporting how the income criteria and benefits are determined for the major public assistance schemes
1571,Capacity of infant care in Yishun
1572,Number of Displaced Persons in Shelters
1573,Child Development Account
1574,ComCare Child Care Subsidy
1575,Regulation of child care centres
1576,Paternity Leave taken in each of past years
1577,Child mismanagement in preschools
1578,Caregiving and domestic support
1579,Marriages under the Special Marriage Licence
1580,Grants for nonMOE kindergartens and special needs support
1581,Localised researchbacked parenting resources to better support parents
1582,Youths help redesign the ROM ROMM building hoping to say I do there one day
1583,Building Community Capability for Strong Marriages
1584,Income Ceilings for Help Schemes
1585,More Integrated Support for Children with Developmental Needs Under ECDA
1586,Applications for personal protection orders
1587,Clarification on online article about Mr Aesan
1588,Clarification on online post about elderly tissue sellers at Lavender MRT
1589,Opening Address by Minister Desmond Lee at NUS Centre for Social Development Asia CSDConference
1590,Updates on Problem Gambling
1591,Standing Together Lifting Lives
1592,Strengthening the Social Service Sector
1593,Better Support for Parents of Preschoolers and the Early Childhood Sector
1594,More Comprehensive Convenient and Coordinated Support for LowIncome and Vulnerable Families
1595,Enhancing Support for AtRisk Children and Youth
1596,Closing Speech by Assoc Prof Dr Muhammad Faishal Ibrahim at the Committee of Supply
1597,Speech by Mr Sam Tan Chin Siong at the Committee of Supply
1598,Closing speech by Associate Professor Muhammad Faishal Ibrahim at Engaging Hearts and Minds Seminar
1599,Nighttime Childcare
1600,Joint Segment Speech by Mr Desmond Lee at the Committee of Supply
1601,Opening Speech by Mr Desmond Lee at the Committee of Supply
1602,Recruiting Preschool Teachers
1603,Social Enterprises
1604,Cases of child and elder abuse
1605,Childcare Subsidies for Working Mothers
1606,Intergenerational and extended family ties increasingly important as population ages
1607,ROMs Valentines Day Celebrations
1608,Clarifications on elderly resident in KembanganChai Chee ward
1609,Childcare Subsidies for Full Day Childcare and Infant Care
1610,ComCare ShorttoMedium Term Assistance
1611,Response to Motions on Caregiver Support and Ageing
1612,Child and Elder Abuse
1613,Working with MOE to Tackle Depression in Students
1614,Strengthening Marriage Among Young Couples
1615,Adoptions by Singles
1616,New Council For Board Diversity To Increase Womens Representation On Boards
1617,Transnational Marriages in Singapore
1618,Enhanced Early Intervention Better Support for Children with Developmental Needs
1619,Manpower in Social Service Offices
1620,Family Support for Working Adults
1621,Videoconferencing and Colocation of Services at Social Service Offices
1622,Clarifications on photo of elderly cleaner at Telok Blangah hawker centre
1623,Response to High Courts Decision on Adoption Appeal
1624,Working with Social Media Companies to tackle Suicide
1625,Speech by MOS Sam Tan at the Launch of Skills Framework for Social Service
1626,Clarifications on post about elderly siblings who have been living without power
1627,Clarifications on photo of elderly cleaner at Clementi hawker centre
1628,Launch of Skills Framework for Social Service at Social Service Institute Graduation and Awards Ceremony
1629,State of homelessness in Singapore
1630,Ruling to award adoption to single man in samesex relationship
1631,Youths Residing in Places of Detention and Juvenile Rehabilitation Centres
1632,Employment rate of Persons with Disabilities
1633,Speech by Minister Desmond Lee at the National Family Violence Networking System Conference
1634,Takeup rate for adoption leave
1635,Total number of persons with disabilities in Singapore
1636,Average cost to pay a certificate issuer to make an LPA
1637,Clarifications on validity of medical report for LPA
1638,Juvenile Rehabilitation Centres
1639,Clarifications on child abuse statistics
1640,Support for low income and vulnerable families
1641,Clarifications on post about elderly lady at Clementi hawker centre needing assistance and meals
1642,Statement by Associate Professor Muhammad Faishal Ibrahim at the rd ASEAN Ministerial Meeting on Women
1643,Launch of Professional Deputies and Donees Scheme
1644,Response to Oxfams CRI Index
1645,Protocol to preempt and deter mass disturbances in the Singapore Boys Home
1646,Speech by Minister Desmond Lee at IPS th Anniversary Conference
1647,SPS Faishal affirmed importance of social protection for women and girls at rd ASEAN Ministerial Meeting on Women
1648,Speech by Minister Desmond Lee at The MSF Volunteer Awards
1649,Number of Singaporeans aged and above who have made an LPA
1650,Update on assessment on revising definition of young person in CYPA
1651,Average income of single unwed parents
1652,Minister Desmond Lee affirms importance of strengthening support to advance the well being of people in ASEAN
1653,Waiting time required for the registration of a Lasting Power of Attorney
1654,Opening Remarks by Minister Desmond Lee at the th ASCC Council Meeting
1655,Financial situations of ComCares ShorttoMediumTerm Assistance recipients
1656,Number of Day Activity Centres clients and staff in DACs
1657,million in ComCare assistance benefitted about Individuals in FY
1658,Speech by Minister Desmond Lee at Early Childhood Conference
1659,Seniors who refuse to participate in the Lease Buyback Scheme
1660,Introducing therapeutic and restorative principles in family justice for better family outcomes
1661,Keynote address by Minister Desmond Lee at the Family Justice Practice Forum
1662,Education institutions for youth with special needs aged and above
1663,Senior Parliamentary Secretary Muhammad Faishal Ibrahim Stresses Singapores Support for Women to Seize Opportunities in the Digital Age
1664,Next review of Public Assistance scheme
1665,Clarifications on support for early childhood educators who transition to MOE Kindergarten from other centres
1666,Development of Early Intervention sector and Training of mainstream preschool teachers
1667,Speech for the APEC Women and the Economy Forums High Level Policy Dialogue on Women and the Economy
1668,Enhanced Pilot for Private Intervention Providers PPIscheme and centres
1669,Opening Remarks by Minister of State Sam Tan at the Professional Deputies and Donees Launch Ceremony
1670,ECDA Awards Recipients Inspire Professional Excellence and Innovation in Early Childhood Sector
1671,Age profile of citizen mothers with nonmarital births
1672,Role of the Special Needs Trust Company
1673,Pilot Programme To Bring New Learning Approach To Preschools
1674,Statistics on custody arrangements for divorce cases
1675,Statistics on divorce cases regarding shared care
1676,Early Childhood Educators Salaries
1677,Celebrating Golden Jubilee Weddings
1678,Opening Address by Minister Desmond Lee at Social Service Summit
1679,P Symposium
1680,Five New Large Child Care Centres To Open By
1681,Statistics on elderly Singaporeans without family support
1682,Number of children and youth residing in homes and shelters
1683,Number of selfharm cases involving children aged and below
1684,Opening Speech by Minister Desmond Lee at the Second Reading of the Vulnerable Adults Bill
1685,Learning and personal development for children residing in homes and shelters
1686,Strengthening the Protection of Vulnerable Adults
1687,Closing Speech By Minister Desmond Lee at the Second Reading of the Vulnerable Adults Bill
1688,New Certification Course To Train Professionals Who Wish To Register As Professional Deputies
1689,Keynote Address at NCSS Day
1690,Speech at the Inaugural Singapore Social Work Practice Research Conference
1691,Lasting Power of Attorney application fees waived for two more years
1692,Easing applications for schemes supporting caregivers of persons with intellectual disability or autism spectrum disorder
1693,Opening Address by Mr Desmond Lee Minister for Social and Family Development at the Committee of Supply Debate
1694,Support for professionals in the special needs sector
1695,Clarifications on the utilisation of current respite care services
1696,First Reading of the Vulnerable Adults Bill
1697,th ASEAN Sociocultural Community Council Meeting
1698,Opening remarks by Mr Desmond Lee at the th ASCC Council Meeting
1699,SPS Faishal Ibrahim Underscores Singapores Commitment To Womens Advancement at Stockholm Forum on Gender Equality
1700,Speech by Minister Desmond Lee at Early Intervention Conference
1701,Ministry of Social and Family Developments addendum to the Presidents Address
1702,Measures to enhance public awareness of special needs children and the needs of their parents and caregivers
1703,Criteria used to determine childcare and preschool subsidies
1704,Speech by Assoc Prof Muhammad Faishal Ibrahim at MSF Committee of Supply
1705,Statistics on local Mother Tongue Language teachers in preschools
1706,Transforming the early childhood sector to give every child a good start in life
1707,Closing speech by Mr Desmond Lee at MSF Committee of Supply
1708,Stepping up outreach to caregivers
1709,Enhancing support for caregivers of persons with disabilities
1710,Enhanced Salary Benchmarks for Social Service Professionals
1711,Strengthening Social Service Delivery on the Ground
1712,Number of Lasting Power of Attorneys registered with Office of the Public Guardian in and
1713,Maintenance applications submitted to the Tribunal for the Maintenance of Parents
1714,Speech by Minister for Social and Family Development Mr Desmond Lee on the motion on support for seniors
1715,Children born to Singaporeans conceived through surrogacy overseas
1716,Statistics on KidSTART programme
1717,Reply on managing cases of children with special needs from dysfunctional families
1718,Statistics on single parent registration births by citizen mothers
1719,Statistics on casino exclusion orders
1720,Number of applications received for HDB season parking for disabled car park lots
1721,Safeguards and measures regarding the Community Kin Service
1722,Juveniles admitted into places of safety under children and young persons act
1723,International Symposium on Inclusion in Asset Building Policy Innovation for Social Impact
1724,Measures to protect young persons from sites like Sugar Book
1725,Reasons for increase in households receiving short and medium term assistance and long term assistance
1726,Statistics on shelters
1727,Plans for Social Service Offices
1728,Help for persons with intellectual disabilities with no familial support
1729,Help for atrisk families
1730,Mandatory Parenting Programme extended to divorcing parents with older children
1731,Standard Chartered Bank SingaporLimited To Cease Child Development Account CDServices After December
1732,Keynote Lecture by Minister Desmond Lee at the Association of Muslim Lawyers Annual Lecture November
1733,Asian Family Conference
1734,Opening Address by Minister Desmond Lee at the Asian Family Conference
1735,Safeguarding interests of children and employees in preschool centres against insolvency
1736,million in ComCare assistance provided to beneficiary households in FY
1737,Regular attendance of children in primary school
1738,Statistics on arrested juveniles admitted into juvenile homes
1739,Measures to ensure childcare operators are financially sound
1740,Assistance for individuals and households in need
1741,Status of review into the Criminal Justice System for Youths
1742,Statistics on workplace childcare centres
1743,Honoured with MSF Volunteer Awards
1744,Opening address by Mr Desmond Lee at Early Childhood Conference
1745,Alternative resolution methods of family conflicts
1746,Opening Statement by SPS Muhammad Faishal Ibrahim at th session of UN CEDAW
1747,Speech by Mr Desmond Lee at the MSF Volunteer Awards
1748,SPS Faishal Ibrahim Reaffirms More Support And Progress For Women In Singapore
1749,Closing Statement by SPS Muhammad Faishal Ibrahim at th session of UN CEDAW
1750,Opening Statement by AProf Muhammad Faishal Ibrahim at the th UN CEDAW
1751,Singapores fourth and fifth periodic report to the United Nations Committee on the Rights of the Child
1752,Lasting Power of Attorney drawn up by singles
1753,Statistics on Juvenile Offenders
1754,Clarifications on the Car Park Label Scheme
1755,Crowdfunding by recipients of social assistance
1756,Domestic violence against women
1757,Statistics on Comcare assistance
1758,Fee waiver for LPA applications
1759,Clarifications on EIPIC
1760,Statistics on children with special needs and intellectual disabilities
1761,Comcare applications withdrawal
1762,Key moves to further transform the early childhood sector
1763,Public Consultation on Singapores th and th Periodic Report on the United Nations Convention on the Rights of the Child UNCR
1764,Registry of Marriages Celebrates Golden Jubilee Weddings
1765,Ministry of Social and Family Development Appoints New Families For Life Council Members
1766,Social Service Net for SSOs and VWOs
1767,Fact sheet on KidSTART
1768,Commuting made easier and more affordable for persons with disabilities
1769,Improving the quality of day care support for adults with special needs
1770,Clarifications on legal rights and responsibilities between stepparents and stepchildren
1771,Child Development Account dollarfordollar matching benefit for children of unwed parents born from January
1772,Remarks by Tan ChuanJin at Family Justice Practice Forum
1773,Clarifications on Comcare trends
1774,Child care centres with extended operating hours
1775,Statistics on transnational marriages
1776,Updates on the Social Service Offices
1777,Clarifications on homeless persons who choose to remain homeless
1778,Single unmarried mothers adopting biological children
1779,Keynote address by Mr Tan ChuanJin at the Rehabilitation and Care Conference
1780,Protection for women who suffer from domestic abuse
1781,Opening address by Mr Tan ChuanJin at the official opening of the NCSS Social Service Summit
1782,Demand for residential homes for the elderly
1783,Clarifications on Maintenance Record Officer project
1784,Speech by Mr Tan ChuanJin on the motion on aspirations of Singapore women
1785,Government support for the work of the Diversity Action Committee
1786,Opening address by Mr Tan ChuanJin at the official opening of the Social Service Institute at Central Plaza
1787,Assistance for lowincome families with infant formula expenses
1788,Clarifications on childcare facilities at Bidadari
1789,Social Welfare for Singaporeans below age
